[238.26857, 29.667665;
 263.03427, 30.659864;
 227.03087, 32.268318;
 337.97037, 32.875263;
 57.850483, 33.557339;
 68.568932, 34.399311;
 137.96959, 33.836876;
 268.12961, 34.049725;
 252.01411, 34.833771;
 287.81723, 35.262852;
 233.39523, 36.313992;
 32.459866, 37.533222;
 82.847366, 38.63834;
 108.38895, 38.768665;
 59.063492, 39.624992;
 297.93774, 39.925823;
 269.21918, 40.609314;
 95.053131, 41.635647;
 54.544785, 45.501614;
 212.82341, 45.016262;
 236.9411, 45.255302;
 152.65781, 48.725857;
 275.52957, 50.304436;
 322.4881, 49.570683;
 146.35728, 54.513851;
 89.092804, 56.081059;
 105.24471, 56.531204;
 168.38277, 56.944386;
 256.57959, 56.766769;
 366.86652, 57.305779;
 276.75305, 59.198315;
 275.50748, 59.866383;
 106.6497, 58.711407;
 164.41614, 59.021694;
 73.739067, 62.919369;
 88.585289, 62.839302;
 202.50517, 62.835312;
 170.30212, 64.290588;
 310.8443, 64.210091;
 129.03764, 64.857826;
 194.4341, 66.402039;
 85.809525, 68.163483;
 162.78821, 66.781548;
 107.40416, 67.938377;
 121.40443, 68.507034;
 152.62833, 69.933762;
 286.24658, 69.954475;
 203.1068, 70.8321;
 258.64175, 72.543388;
 115.95294, 73.146187;
 157.4539, 73.613815;
 136.14169, 74.734344;
 95.528603, 75.590141;
 151.40648, 76.4058;
 172.27335, 77.473518;
 90.773178, 77.97879;
 122.13518, 80.060509;
 156.6741, 80.254547;
 240.05789, 80.07206;
 119.23658, 81.450806;
 135.1153, 81.771141;
 95.902725, 83.913574;
 189.58084, 83.082016;
 240.93008, 87.352638;
 123.53934, 88.699821;
 191.53328, 90.118225;
 105.6181, 89.833298;
 126.42589, 95.189125;
 112.48234, 94.900414;
 237.95314, 95.087303;
 146.6649, 96.092438;
 107.54909, 98.057327;
 100.02375, 99.149673;
 251.95877, 101.61333;
 116.91812, 102.26523;
 236.09738, 103.16275;
 161.42795, 103.6508;
 48.490299, 106.54287;
 146.7545, 104.76487;
 251.01639, 108.38274;
 98.466415, 107.05322;
 116.16844, 108.98019;
 147.54486, 112.01648;
 155.18701, 110.85589;
 257.96249, 111.47873;
 130.26436, 112.26775;
 175.38995, 112.18719;
 98.253555, 115.04373;
 356.14548, 113.93904;
 86.851463, 114.23747;
 108.71144, 114.23614;
 72.483017, 115.49854;
 188.91147, 116.00974;
 75.829102, 116.96587;
 178.6445, 118.44854;
 206.13956, 118.11471;
 38.881912, 120.13232;
 89.123398, 119.87454;
 328.13211, 121.40177;
 72.223206, 121.71332;
 108.12577, 122.08878;
 303.68234, 121.5771;
 187.7874, 124.55108;
 196.76265, 124.87018;
 230.49107, 126.43045;
 38.011806, 128.04822;
 96.852516, 126.33607;
 306.0871, 128.88112;
 55.203888, 129.07722;
 80.954391, 129.95949;
 29.706251, 131.30232;
 161.57004, 130.79269;
 196.3044, 132.0289;
 116.78268, 134.73264;
 171.02513, 135.33946;
 115.81448, 135.42183;
 233.0705, 134.9015;
 219.0584, 136.35074;
 52.752571, 138.21382;
 179.1774, 136.89041;
 189.7471, 137.94743;
 283.69162, 136.82133;
 135.21446, 137.67722;
 260.91415, 138.73677;
 124.4162, 139.09291;
 100.96777, 140.73453;
 32.071308, 141.6226;
 217.93089, 141.71021;
 238.20883, 141.92244;
 360.99249, 141.59894;
 45.06282, 142.95523;
 70.609421, 143.11023;
 173.42223, 143.29568;
 266.47327, 143.20955;
 134.13785, 144.02223;
 354.81085, 145.94713;
 82.458511, 144.49583;
 224.63803, 144.88406;
 329.73718, 143.74069;
 58.595039, 146.894;
 126.03477, 147.30399;
 45.306446, 145.52603;
 236.84343, 148.16763;
 358.05151, 148.13953;
 101.62444, 149.12093;
 190.39703, 149.46686;
 159.93727, 149.79976;
 224.23088, 150.41023;
