[269.86398, 3.6279402;
 379.77457, 6.265173;
 53.653961, 8.5663567;
 210.0417, 9.1883564;
 382.55405, 12.061646;
 304.84149, 13.520597;
 289.21231, 14.524282;
 80.083649, 16.120323;
 161.89925, 16.996294;
 273.72556, 17.778933;
 34.944481, 19.299456;
 184.41499, 21.583864;
 124.70136, 22.706282;
 192.1683, 25.785715;
 253.33487, 28.992344;
 113.0901, 30.24992;
 320.86658, 33.415958;
 55.677299, 33.714809;
 377.58008, 34.105644;
 234.59789, 35.541916;
 296.83289, 35.586067;
 111.91668, 37.214851;
 52.961262, 39.141582;
 92.737236, 39.342365;
 235.46472, 44.495876;
 342.81326, 45.176727;
 70.981529, 46.004173;
 259.60806, 47.310905;
 241.7818, 48.704498;
 95.03685, 50.834831;
 120.35075, 50.977356;
 276.30359, 52.922009;
 107.18971, 53.803635;
 67.769691, 57.299992;
 327.90524, 61.574127;
 281.71918, 62.548637;
 156.62897, 66.787743;
 101.45071, 67.823708;
 179.23676, 68.531891;
 263.66315, 68.873322;
 282.81961, 71.310593;
 118.94302, 71.847809;
 173.92659, 72.022102;
 86.138763, 74.076439;
 100.90957, 74.13208;
 179.82431, 75.830368;
 316.45932, 75.745361;
 172.45761, 78.114578;
 204.03928, 77.888016;
 97.81295, 78.938057;
 118.60508, 79.218361;
 133.2215, 79.396072;
 167.57224, 84.411194;
 265.85709, 83.965042;
 126.32619, 84.848457;
 107.45393, 87.452995;
 168.02275, 91.059166;
 247.56329, 91.281799;
 130.41026, 92.98877;
 4.6333327, 94.244659;
 108.02482, 94.074432;
 198.78075, 94.082878;
 134.69893, 99.813423;
 201.09264, 100.89637;
 117.05403, 101.5392;
 246.38759, 105.91266;
 128.59821, 113.07848;
 259.59665, 112.56803;
 172.50273, 114.37406;
 29.680038, 115.00226;
 157.44061, 115.31278;
 41.349087, 115.59233;
 60.820621, 116.81226;
 375.60623, 116.70019;
 5.6489978, 118.60815;
 127.76335, 119.38239;
 258.54919, 118.78607;
 165.71745, 120.96304;
 141.38033, 122.45552;
 158.58881, 121.61191;
 185.41066, 122.53161;
 360.45309, 124.02599;
 98.739365, 124.77567;
 120.41569, 124.88514;
 3.6778493, 125.84253;
 84.391106, 125.58567;
 198.38434, 126.15285;
 188.26527, 128.21667;
 215.1051, 127.82132;
 52.534519, 130.09073;
 387.92471, 130.21927;
 397.14233, 131.07164;
 28.126108, 131.84042;
 119.6751, 131.74098;
 309.5947, 131.67529;
 197.14032, 134.19876;
 205.75101, 134.82927;
 238.588, 135.99294;
 108.88789, 136.95856;
 68.552902, 138.68274;
 93.32486, 139.87331;
 378.20578, 139.83794;
 43.341511, 141.07048;
 204.85754, 141.51196;
 394.36209, 141.71577;
 182.78717, 143.91753;
 241.19469, 144.4232;
 127.76672, 144.54578;
 227.34892, 145.5415;
 290.32388, 146.13513;
 146.52046, 147.40849;
 18.867947, 148.25327;
 268.69455, 147.95073;
 134.81636, 149.0289;
 113.15982, 150.058;
 10.641922, 150.53603;
 183.37932, 152.54286;
 22.284319, 153.47978;
 145.04251, 153.43962;
 94.505272, 154.02843;
 233.04626, 153.9859;
 335.16953, 153.5318;
 358.28754, 153.9164;
 58.976101, 155.98656;
 136.78761, 156.13335;
 245.02666, 157.13347;
 362.03879, 157.00182;
 113.65374, 158.2426;
 170.21692, 158.83232;
 333.40518, 159.40442;
 21.935009, 160.29008;
 95.86969, 160.12888;
 121.05441, 162.95415;
 186.52338, 167.22183;
 78.355659, 170.85213;
 98.952103, 172.59854;
 187.7973, 174.24176;
 306.52985, 173.82376;
 387.26706, 174.02905;
 220.40997, 176.67987;
 65.70681, 177.49553;
 9.4226065, 179.11815;
 308.99475, 180.29108;
 180.93398, 182.60068;
 152.94443, 183.61809;
 86.874542, 187.70854;
 241.4227, 188.82195;
 30.674086, 191.15549;
 111.86541, 191.73938;
 123.67106, 191.86157;
 318.48691, 192.83658;
 64.714279, 193.92195;
 240.54469, 194.80879;
 157.0929, 195.91061;
 96.425858, 199.64954;
 162.55779, 199.03072;
 7.041544, 200.62503;
 144.09842, 201.10498;
 185.79788, 204.09969;
 115.5789, 205.65459;
 48.523769, 206.40846;
 200.57938, 206.84814;
 131.62253, 208.00221;
 144.47746, 207.51479;
 108.25726, 208.56178;
 336.68909, 209.05472;
 300.93857, 211.7337;
 381.96686, 211.70908;
 112.79243, 213.7739;
 61.80402, 215.05069;
 338.85559, 215.2415;
 367.3017, 215.30966;
 87.083427, 216.30994;
 4.3484545, 218.48685;
 49.575367, 222.40501;
 121.32372, 226.6339;
 272.30475, 227.73643;
 83.880051, 229.16739;
 162.93712, 228.9012;
 176.3717, 229.33298;
 163.21797, 234.84169;
 273.38702, 234.89928;
 32.710102, 235.62817;
 307.94922, 236.08931;
 121.56277, 239.06262;
 344.40741, 241.8802;
 240.83765, 244.08278;
 37.252354, 245.53781;
 79.520355, 245.35359;
 102.40234, 245.74849;
 104.5228, 246.02162;
 201.77208, 245.89464;
 128.8737, 248.91577;
 93.371277, 254.97749;
 168.98378, 258.09573;
 42.814636, 264.23264;
 136.17238, 270.47464;
 37.997803, 272.49728;
 178.23682, 272.98502;
 47.192654, 278.7319;
 287.47025, 282.08444;
 321.53586, 283.97354;
 297.73099, 286.4841;
 249.7018, 286.90173;
 71.815666, 287.50659;
 288.25848, 290.36569;
 273.83487, 291.18591;
 219.03455, 295.27954;
 253.71695, 295.41415;
 281.18268, 297.84155;
 311.06625, 300.73297;
 342.33301, 301.77338;
 123.75407, 303.32028;
 312.40265, 307.43878;
 204.53502, 308.49246;
 42.887798, 309.4097;
 242.1118, 308.70963;
 56.852497, 311.0871;
 372.50964, 310.73431;
 100.14558, 313.35312;
 251.6338, 312.99014;
 302.92554, 313.41312;
 65.960464, 314.0892;
 222.70198, 315.36014;
 88.451225, 316.12479;
 242.96008, 315.53326;
 132.98363, 317.27335;
 4.1301517, 317.71411;
 12.767877, 318.49097;
 172.2012, 317.81976;
 144.77589, 322.8063;
 197.47382, 326.74512;
 84.503616, 327.94388;
 81.013924, 329.09116;
 240.76271, 328.97855;
 274.85864, 330.45694;
 283.15024, 330.50836;
 134.07832, 331.27994;
 19.638405, 333.76938;
 109.52908, 334.02026;
 17.113199, 340.59979;
 109.35083, 341.26419;
 205.05754, 341.45499;
