[482.69119, 88.514687;
 446.60858, 96.240746;
 491.57779, 96.399933;
 701.75653, 98.246132;
 748.4516, 114.6049;
 404.56668, 123.62462;
 1063.4714, 134.9173;
 1076.6515, 146.99133;
 1055.35, 153.66405;
 1064.594, 154.9588;
 1058.8998, 161.7466;
 434.96121, 164.00958;
 424.79855, 167.26369;
 267.32474, 201.28195;
 585.17328, 207.21394;
 637.64313, 210.87241;
 464.78784, 214.29439;
 581.10327, 219.5472;
 1248.1804, 221.35851;
 470.14099, 226.01343;
 609.36243, 230.53673;
 626.7619, 236.85693;
 616.07874, 239.90947;
 629.9342, 260.4827;
 541.40051, 266.34085;
 536.99774, 273.51517;
 1033.3109, 286.54031;
 552.42041, 293.54602;
 120.46192, 337.91238;
 275.93906, 341.40536;
 275.13098, 372.25131;
 1230.5004, 373.05484;
 276.3576, 383.68146;
 647.59033, 385.99252;
 267.68918, 389.29861;
 619.59161, 396.36737;
 263.36667, 397.73627;
 620.14429, 403.64005;
 403.82932, 405.11435;
 400.03653, 420.46783;
 375.70865, 436.1727;
 658.01935, 464.28693;
 695.50079, 473.10315;
 310.71823, 501.61884;
 299.61945, 507.03516;
 240.77461, 512.28735;
 708.03839, 563.41534;
 714.56818, 565.59833;
 740.50531, 580.41498;
 1137.9501, 595.22229;
 741.06836, 602.37341;
 199.8777, 614.83563;
 682.09363, 616.1723;
 63.650864, 620.90436;
 289.19904, 677.3595;
 510.91571, 686.5896;
 43.845753, 721.23969;
 144.32599, 727.9538;
 59.809284, 730.04865;
 371.67227, 734.03912;
 135.7496, 740.74078;
 1326.34, 756.28394;
 701.82135, 773.31512;
 1313.9095, 774.27948;
 740.08887, 781.39471;
 1310.9108, 784.28369;
 81.538521, 787.55847;
 762.97919, 790.71704;
 277.92322, 816.81897;
 790.18719, 828.85297;
 140.31395, 834.14673;
 421.17072, 856.17371;
 1068.4435, 860.19214;
 1216.5531, 868.5918;
 211.68097, 878.39972;
 796.82068, 892.48065;
 103.11983, 906.64478;
 1274.3314, 918.07208;
 187.78526, 933.12653;
 1350.1981, 937.38;
 1346.4656, 946.22186;
 720.54303, 989.58948;
 775.95215, 990.06824;
 1416.0417, 1026.7509;
 126.04424, 1059.9631;
 820.43427, 1064.9871;
 767.30115, 1070.2509;
 750.93365, 1079.8245;
 782.27954, 1102.0065;
 765.39752, 1113.8899;
 661.23529, 1116.7477;
 58.006138, 1126.588;
 850.32092, 1127.2336;
 775.2406, 1129.9941;
 72.916206, 1133.2728;
 783.95612, 1141.4438;
 228.2697, 1142.9329;
 791.37915, 1177.5303;
 780.83569, 1188.9813;
 787.04639, 1193.3915;
 666.16931, 1193.7939;
 1315.5201, 1194.2919;
 808.88568, 1233.8496;
 812.77411, 1245.1637;
 178.52544, 1248.915;
 815.18213, 1250.432;
 840.70367, 1272.415;
 1415.4934, 1275.2998;
 222.16501, 1279.835;
 842.79944, 1288.4623;
 913.42432, 1306.8058;
 847.77368, 1334.4915;
 868.12518, 1337.8224;
 856.92902, 1350.7518;
 863.83466, 1352.8839;
 879.33319, 1353.0909;
 895.07391, 1353.4379;
 863.48468, 1361.7668;
 96.015701, 1367.861;
 102.08768, 1373.118;
 871.15198, 1391.0658;
 726.78406, 1396.9794;
 892.14539, 1396.0686;
 883.06189, 1399.293;
 946.73419, 1411.8323;
 1419.9528, 1416.765;
 984.19977, 46.506527;
 203.2075, 48.225033;
 1215.9143, 48.631031;
 505.16354, 49.816029;
 372.6377, 51.942886;
 680.82715, 52.116711;
 347.15475, 56.239624;
 458.77124, 58.972801;
 223.83519, 63.615963;
 1310.087, 63.890144;
 483.99896, 66.88028;
 1318.7543, 67.618286;
 765.86993, 76.026184;
 651.75922, 79.001213;
 147.49704, 84.125359;
 623.07056, 86.81134;
 1203.9728, 91.714249;
 997.74115, 94.061676;
 1198.6177, 101.19297;
 484.43021, 103.26488;
 1170.0861, 102.87156;
 463.07748, 104.13275;
 169.95158, 106.02924;
 551.07092, 112.67317;
 426.89755, 114.4043;
 1008.6208, 114.75584;
 740.96619, 119.12621;
 632.27173, 120.86112;
 244.46339, 121.73116;
 758.37384, 122.06608;
 656.84924, 127.17047;
 415.65262, 128.52263;
 400.44269, 131.56332;
 1083.0559, 138.25664;
 286.98672, 145.92169;
 395.32523, 158.28442;
 74.547523, 158.75941;
 1377.2773, 165.7067;
 195.38368, 169.29062;
 636.81256, 175.09265;
 443.74448, 178.07268;
 787.58716, 181.35606;
 1076.4878, 187.49609;
 362.1759, 189.46004;
 453.77054, 189.23978;
 1019.8588, 192.64156;
 1327.8484, 192.65387;
 370.10397, 194.2184;
 259.94736, 206.2946;
 576.99707, 210.70752;
 286.89493, 211.91968;
 229.94191, 214.16042;
 589.67004, 214.39822;
 1142.6174, 215.63385;
 1067.9567, 221.79713;
 741.21381, 223.23323;
 224.37091, 230.29089;
 599.45508, 230.28407;
 92.571152, 230.56395;
 816.16016, 230.59718;
 278.77527, 232.77052;
 899.20801, 233.31729;
 207.86435, 235.65985;
 532.10187, 241.97757;
 1183.0511, 245.53934;
 541.23871, 253.07211;
 636.77899, 255.09444;
 510.36838, 256.25302;
 1349.7543, 255.92337;
 1340.0049, 256.64764;
 174.62903, 258.98471;
 202.41774, 259.2865;
 264.17465, 258.95697;
 149.50943, 260.48532;
 704.57355, 260.41727;
 1065.8979, 261.79587;
 1108.3529, 265.15051;
 149.21075, 269.24039;
 340.93265, 269.93723;
 610.59961, 273.50183;
 916.91351, 276.01077;
 1146.218, 276.45535;
 490.82462, 276.99988;
 544.68097, 278.14191;
 370.33282, 283.30759;
 670.42505, 282.51483;
 543.8894, 286.4071;
 561.24945, 289.49481;
 663.42944, 293.22137;
 165.58861, 296.61435;
 269.02249, 302.48587;
 717.32159, 302.11444;
 376.13449, 307.83377;
 615.6181, 308.99173;
 667.39752, 309.72284;
 628.05695, 315.8457;
 258.19296, 322.32837;
 283.27985, 323.93866;
 390.362, 324.78284;
 605.00519, 325.43045;
 266.0162, 327.37045;
 1067.4841, 328.56281;
 589.59955, 330.95541;
 674.77643, 331.47055;
 544.55945, 331.91861;
 170.91969, 337.95731;
 700.21771, 338.29886;
 374.634, 339.26291;
 89.025604, 344.28491;
 285.42715, 346.05725;
 1235.1493, 352.40024;
 108.29659, 353.09973;
 677.06512, 352.72717;
 686.7038, 354.62094;
 343.78162, 363.78183;
 94.606636, 368.35089;
 200.35875, 368.43146;
 261.24817, 369.96167;
 370.07648, 370.10889;
 696.5567, 370.48807;
 213.65862, 372.20453;
 739.72821, 371.8541;
 782.67957, 372.66867;
 206.15108, 373.79581;
 410.44925, 374.19458;
 136.67462, 381.60849;
 614.03674, 384.12012;
 256.43115, 385.78738;
 150.20593, 387.06339;
 762.90112, 386.82574;
 624.83356, 389.41327;
 141.24139, 390.93042;
 284.05188, 390.78848;
 1387.225, 393.521;
 580.54883, 399.17358;
 606.0296, 404.47672;
 625.30463, 411.47156;
 645.66913, 413.26605;
 671.90686, 415.78909;
 625.87109, 427.87338;
 634.46759, 427.64429;
 560.41461, 429.94974;
 766.91211, 431.47498;
 207.5665, 432.59863;
 536.01477, 433.34396;
 315.25964, 435.93695;
 663.91382, 439.16013;
 569.4151, 443.04446;
 1242.1899, 443.72949;
 110.58829, 446.45367;
 1190.4998, 449.47119;
 402.37991, 449.59515;
 493.67957, 452.2645;
 358.92587, 459.99051;
 699.5069, 460.4743;
 822.53699, 461.33597;
 1009.667, 467.3779;
 359.88824, 472.48831;
 188.33798, 482.88629;
 1168.71, 483.65836;
 375.93484, 486.02151;
 580.95819, 485.59116;
 714.72388, 493.91983;
 1313.0875, 495.33514;
 553.92041, 496.49411;
 1078.4486, 498.08582;
 203.77579, 499.15771;
 261.99792, 500.64471;
 695.48041, 503.00552;
 1066.1423, 502.92926;
 738.29486, 505.47012;
 425.25592, 510.67044;
 358.27301, 514.45807;
 727.12915, 513.65387;
 949.41443, 517.16565;
 266.72516, 517.59766;
 516.55713, 520.77094;
 709.61737, 525.76697;
 202.89288, 526.67444;
 49.773705, 537.05292;
 243.8213, 543.5343;
 297.29666, 545.94757;
 584.53882, 547.23175;
 702.0675, 546.79395;
 1281.1865, 548.66888;
 169.37706, 554.37671;
 110.62107, 556.75183;
 395.40094, 556.55005;
 1098.8506, 559.24524;
 847.67517, 560.50439;
 584.94781, 564.53088;
 78.265213, 565.57397;
 404.85812, 567.59802;
 921.36542, 567.84253;
 636.91785, 569.6344;
 741.91931, 569.77234;
 751.63831, 569.5423;
 1286.4332, 572.00513;
 578.07483, 573.46179;
 712.29352, 575.22992;
 73.982941, 583.84723;
 757.78503, 584.10687;
 1129.6346, 585.25977;
 1223.1406, 585.79608;
 71.523453, 592.28589;
 145.3416, 593.3299;
 716.72241, 594.08716;
 740.69812, 593.77423;
 1310.5121, 593.92334;
 1146.1687, 595.1817;
 667.73621, 597.16827;
 487.14874, 599.79358;
 650.71991, 600.76099;
 878.40692, 605.07684;
 68.086006, 605.92389;
 1123.2224, 606.89722;
 1140.3835, 608.23914;
 270.33777, 609.34576;
 1377.2987, 612.10199;
 180.31714, 613.79175;
 224.29451, 616.32111;
 621.60583, 617.30688;
 781.03125, 620.0368;
 1139.3242, 619.84552;
 675.14282, 623.88403;
 707.91791, 625.76239;
 320.17429, 630.0835;
 1072.3561, 634.85461;
 1062.6511, 636.01251;
 1409.2667, 637.68768;
 193.18217, 638.83484;
 329.55316, 641.1076;
 713.28278, 640.88885;
 305.5574, 641.92792;
 1292.989, 644.98761;
 683.60571, 646.3634;
 438.43008, 647.07007;
 575.15833, 647.33252;
 722.92987, 649.89392;
 1186.0992, 651.75641;
 483.04526, 658.18268;
 1113.4028, 658.10046;
 549.77893, 668.45685;
 859.11188, 670.39166;
 1390.4071, 672.21753;
 1129.9602, 679.8338;
 961.01166, 694.40424;
 762.18768, 696.07245;
 60.693546, 698.42346;
 1341.0221, 712.88416;
 77.075233, 715.1145;
 676.80493, 715.11377;
 116.83794, 715.59186;
 70.714394, 722.0719;
 87.797508, 722.63855;
 669.90417, 722.55066;
 713.36713, 725.81018;
 684.79858, 729.60431;
 257.12949, 732.31134;
 1182.8608, 734.52057;
 897.81555, 744.84229;
 313.76385, 750.02307;
 433.81042, 751.44397;
 136.98322, 751.50732;
 55.823879, 758.43066;
 1318.9587, 761.43579;
 189.2534, 764.9472;
 643.22723, 765.18713;
 1310.8021, 765.47986;
 337.12146, 766.21722;
 1321.0798, 770.59644;
 867.90997, 771.99548;
 711.9317, 777.42987;
 767.28778, 778.68378;
 110.13192, 783.073;
 91.385849, 785.73492;
 227.8512, 791.92053;
 696.64191, 795.19196;
 1063.8054, 795.05328;
 768.78705, 797.052;
 224.17909, 800.27679;
 1069.4482, 803.53223;
 714.7666, 804.66833;
 697.28955, 807.70447;
 877.63361, 809.42322;
 724.37299, 809.9986;
 798.01117, 814.28156;
 709.35358, 818.43842;
 758.87891, 821.56427;
 1292.8398, 824.35522;
 383.52747, 827.55359;
 766.98029, 827.85956;
 1349.3308, 830.82068;
 225.71951, 833.92114;
 670.75824, 833.63538;
 1099.9736, 842.09149;
 1128.076, 842.03119;
 735.72864, 842.56274;
 772.56909, 844.37079;
 323.56839, 844.5896;
 972.97369, 844.52527;
 147.79594, 849.07324;
 1394.3628, 851.41803;
 629.57813, 855.52625;
 1231.9547, 859.76581;
 1181.8287, 862.11493;
 1103.4725, 865.68158;
 95.401176, 875.50195;
 1198.8021, 875.93652;
 784.62415, 878.20093;
 312.37613, 882.67358;
 495.58685, 884.91339;
 774.60016, 885.90924;
 1172.105, 886.51404;
 107.18503, 887.81915;
 117.95505, 887.80493;
 734.20355, 904.5036;
 164.95262, 905.77252;
 308.74887, 909.11713;
 798.35187, 910.86481;
 806.88678, 918.14935;
 156.31007, 919.59528;
 219.62944, 922.45349;
 1292.7058, 923.1261;
 1360.9741, 924.49304;
 1083.5526, 925.37469;
 303.71329, 925.94366;
 787.25006, 926.03992;
 774.96326, 927.47992;
 213.89456, 929.15643;
 1402.8773, 933.15808;
 177.8457, 935.51215;
 168.59006, 937.47083;
 804.36786, 940.20557;
 1390.4902, 940.15826;
 873.69061, 945.93158;
 183.55551, 961.46283;
 1196.4591, 975.7417;
 721.2774, 976.61316;
 830.98279, 979.63879;
 233.32298, 984.13995;
 711.15796, 983.91705;
 741.09167, 984.64832;
 749.43884, 988.34119;
 619.25507, 991.3335;
 90.386452, 994.39386;
 628.17938, 993.96521;
 206.35222, 994.62524;
 749.76526, 996.37744;
 815.41998, 997.21765;
 718.30542, 998.59454;
 48.085468, 999.95123;
 849.17334, 999.61658;
 1311.1053, 1004.5828;
 103.28751, 1007.2194;
 743.91132, 1009.2996;
 809.39899, 1017.5224;
 317.55255, 1020.8707;
 1271.4446, 1021.3231;
 171.85378, 1028.3607;
 1301.6807, 1028.8182;
 162.90518, 1030.7305;
 813.47601, 1030.8438;
 54.24165, 1040.3389;
 818.26886, 1044.5496;
 742.45764, 1051.9524;
 487.42145, 1056.4366;
 816.32794, 1057.1473;
 350.36099, 1061.4548;
 988.89404, 1061.9575;
 479.92389, 1063.6759;
 740.77002, 1063.7153;
 1166.0295, 1071.5765;
 911.73639, 1076.2712;
 844.87592, 1077.5747;
 784.16388, 1080.7599;
 1097.1531, 1082.4274;
 289.86505, 1084.2493;
 796.5213, 1085.2421;
 843.69379, 1091.7668;
 789.53931, 1093.015;
 383.8811, 1093.9701;
 1027.4884, 1097.925;
 556.82623, 1101.5157;
 1222.8705, 1104.2389;
 838.22845, 1110.9645;
 478.31906, 1114.707;
 414.50488, 1119.3568;
 253.36551, 1122.5287;
 776.9928, 1122.5135;
 593.72784, 1128.7317;
 251.69896, 1131.2708;
 944.44757, 1131.2146;
 499.80136, 1132.0638;
 782.51575, 1131.7778;
 439.17087, 1132.5062;
 805.0246, 1133.7253;
 259.54404, 1137.3359;
 71.330269, 1140.8873;
 848.05206, 1141.9353;
 795.97571, 1143.7916;
 708.20618, 1145.5818;
 319.66953, 1148.2411;
 802.6424, 1150.6158;
 246.78304, 1156.6261;
 792.4101, 1157.3129;
 1366.3497, 1156.621;
