[425.93164, 47.418423;
 434.17783, 47.087589;
 76.570663, 53.801632;
 353.57745, 82.596817;
 935.59741, 116.7397;
 908.00269, 132.05989;
 880.73389, 134.89818;
 890.16345, 134.67285;
 899.97681, 138.72984;
 1233.241, 142.7233;
 534.97235, 196.43321;
 25.967113, 202.60025;
 1140.2644, 217.51944;
 99.736252, 242.89958;
 903.36176, 251.20844;
 127.40193, 251.79124;
 929.18109, 264.57001;
 651.44086, 296.58749;
 1132.6493, 308.51929;
 1125.0469, 310.22269;
 1194.2048, 320.81689;
 1116.5066, 332.57025;
 379.45621, 337.01904;
 1198.3922, 350.96707;
 8.4906998, 357.98193;
 1193.9324, 360.78931;
 1201.5427, 368.44736;
 1183.4088, 383.27762;
 643.96039, 396.3703;
 1368.1107, 413.23944;
 1059.9298, 442.57584;
 1053.7646, 446.59607;
 754.05054, 493.41821;
 900.7113, 606.591;
 959.98151, 608.95587;
 718.93054, 843.61121;
 533.948, 898.20532;
 550.06641, 906.8009;
 511.95895, 927.48523;
 497.23489, 957.4519;
 454.1803, 978.42242;
 469.85675, 982.02661;
 541.91541, 1008.1273;
 429.293, 1025.9495;
 418.09338, 1038.7001;
 412.08865, 1072.3624;
 399.67697, 1082.1208;
 352.47269, 1125.1289;
 368.90894, 1128.1581;
 325.07416, 1157.4971;
 368.47647, 1159.9536;
 329.61514, 1178.2744;
 343.7883, 1233.3539;
 956.81458, 1345.5132;
 1221.7362, 1445.7501;
 912.32971, 1447.23;
 155.24831, 11.594863;
 27.912029, 12.657765;
 1284.1069, 13.22123;
 386.40353, 14.285682;
 1022.8129, 13.830252;
 1006.2419, 16.978144;
 602.02454, 17.48221;
 653.06879, 19.320412;
 825.45673, 25.411148;
 886.53271, 24.782368;
 590.0108, 28.890387;
 1110.3347, 29.276844;
 832.99854, 31.370235;
 182.31456, 33.731174;
 1217.9188, 36.42762;
 1052.6155, 39.730145;
 1390.766, 40.252686;
 567.60144, 43.292526;
 363.9285, 45.916801;
 425.64804, 47.338112;
 434.50473, 47.675327;
 76.450127, 54.089054;
 624.58771, 63.662609;
 874.37164, 65.406784;
 616.25903, 65.59903;
