[35.076698, 28.933563;
 214.02728, 28.839714;
 241.32895, 29.347408;
 224.07428, 31.404688;
 281.8732, 34.269901;
 337.38828, 33.88018;
 176.10222, 40.115303;
 74.191589, 41.127438;
 137.5592, 40.725677;
 164.86133, 42.053482;
 288.79214, 42.407654;
 262.62769, 43.117863;
 285.32022, 44.964035;
 94.420708, 45.609276;
 158.38475, 45.550121;
 56.466484, 48.627777;
 73.676842, 48.410736;
 165.37253, 50.512569;
 324.00241, 50.398315;
 119.14874, 51.038628;
 63.497021, 53.514828;
 70.101906, 54.393997;
 156.86308, 53.2393;
 193.07426, 52.920162;
 267.49036, 50.778759;
 94.322807, 54.461456;
 110.85949, 54.865414;
 296.13171, 57.006325;
 202.79813, 58.115932;
 265.17279, 59.949589;
 103.46986, 60.924519;
 126.69716, 61.860989;
 150.74637, 59.960541;
 144.26459, 64.130951;
 81.242256, 63.722206;
 167.96065, 65.572441;
 74.899429, 66.643654;
 111.78, 67.710907;
 151.03954, 68.340416;
 244.04846, 68.400703;
 125.6188, 69.97419;
 81.734467, 72.131676;
 107.9085, 70.191597;
 187.40353, 71.863037;
 245.46313, 76.548889;
 285.12863, 75.387978;
 112.84151, 78.261826;
 189.75894, 79.644104;
 92.372406, 79.988144;
 86.045952, 84.084587;
 117.05701, 84.440323;
 242.24092, 85.36953;
 139.23306, 86.651817;
 94.474602, 88.717537;
 86.431313, 89.573303;
 153.3522, 92.843933;
 105.42867, 93.662468;
 240.1595, 94.710068;
 257.65582, 92.884003;
 139.15457, 96.455513;
 156.12907, 95.109779;
 137.33717, 98.004219;
 256.84476, 100.59317;
 83.959335, 99.67305;
 104.85979, 101.34225;
 140.21175, 104.06519;
 148.49416, 103.04809;
 120.49931, 104.77141;
 171.62849, 104.76807;
 40.270119, 106.15032;
 84.142921, 107.62141;
 71.284729, 107.19363;
 54.829247, 108.29066;
 96.285934, 107.14677;
 186.66516, 109.01802;
 59.688862, 110.23715;
 206.17056, 111.06363;
 175.04477, 111.52715;
 339.41373, 110.84267;
 74.071487, 112.72747;
 55.017681, 115.0996;
 95.470505, 115.66107;
 343.65063, 114.68093;
 316.14255, 115.34818;
 185.27753, 118.25183;
 195.16525, 119.03799;
 233.38445, 120.26363;
 318.43173, 122.94266;
 36.482212, 122.89211;
 82.817459, 121.18347;
 64.81002, 124.83388;
 155.84558, 125.74658;
 108.37534, 127.42888;
 194.446, 126.97402;
 265.41913, 127.14403;
 167.95992, 130.04309;
 236.117, 129.94417;
 105.19797, 130.12657;
 33.644928, 132.05513;
 220.6311, 132.10378;
 175.6391, 132.67738;
 293.71826, 132.60304;
 126.2806, 133.61234;
 268.2355, 134.47701;
 87.670113, 136.78963;
 113.34989, 135.30728;
 158.6051, 137.62961;
 219.79637, 137.85388;
 242.15361, 138.39775;
 53.125427, 139.79074;
 125.10633, 140.14359;
 169.36938, 139.61378;
 274.33682, 139.69048;
 66.243729, 141.22986;
 227.15892, 141.3542;
 345.69778, 140.60889;
 42.069599, 144.25401;
 115.39491, 144.07896;
 240.8398, 145.21179;
 88.361923, 146.27098;
 153.99327, 147.12131;
 188.22447, 146.866;
 304.61996, 146.45743;
 343.90216, 148.18193;
 67.386597, 148.88451;
 226.17941, 147.77983;
 54.937618, 150.05551;
 97.022308, 151.7787;
 324.52145, 152.69167;
 54.778782, 155.68285;
 173.00266, 156.69238;
 222.25708, 157.03638;
 160.40547, 160.18057;
 212.12718, 159.8678;
 47.123352, 160.91525;
 71.347252, 162.86887;
 174.35342, 165.14919;
 186.28726, 165.4727;
 201.04193, 164.88072;
 312.66931, 164.53564;
 101.52561, 165.9908;
 318.72827, 166.4684;
 212.08549, 167.99902;
 32.507671, 169.0686;
 73.978882, 171.44109;
 315.25681, 172.33719;
 167.14415, 174.75714;
 134.12067, 175.92868;
 231.79283, 175.94078;
 57.421165, 180.54492;
 236.62793, 182.49442;
 169.03372, 183.70726;
 85.830383, 185.29668;
 100.17498, 185.24348;
 100.67039, 186.26016;
 31.542971, 187.42213;
 326.34412, 186.41965;
 236.01106, 188.26602;
 138.27626, 189.84386;
 216.73096, 190.85162;
 68.59433, 194.34627;
 144.84042, 193.57918;
 123.91883, 196.00023;
 135.3175, 197.16096;
 172.03349, 199.50746;
 90.613625, 201.67447;
 189.01752, 203.10356;
 124.13445, 203.8502;
 81.86071, 204.89604;
 104.3711, 205.15526;
 108.75874, 204.19109;
 347.63297, 205.18799;
 47.192123, 206.78738;
 306.22821, 208.53566;
 87.125404, 211.39795;
 283.13251, 210.35864;
 109.73554, 211.431;
 199.69562, 210.59436;
 349.8183, 213.42628;
 58.02507, 214.16495;
 63.392002, 216.31729;
 136.37299, 223.61177;
 42.510429, 225.23766;
 72.770088, 225.46913;
 363.47711, 226.40298;
 97.407272, 225.36459;
 189.30243, 226.17984;
 272.69952, 226.99957;
 53.942303, 229.22533;
 145.8145, 228.24208;
 161.46895, 229.02921;
 120.97315, 232.02435;
 191.72856, 233.27821;
 250.50134, 232.7496;
 145.97206, 235.64752;
 273.9826, 235.61598;
 121.13655, 237.42934;
 314.07944, 236.70944;
 97.038086, 240.38574;
 174.79745, 240.80707;
 42.701385, 243.41855;
 260.81403, 242.95834;
 356.11661, 244.04846;
 108.83059, 246.129;
 235.98488, 246.24567;
 148.95721, 245.99278;
 48.475273, 247.50591;
 60.850315, 247.62923;
 79.154755, 248.38832;
 190.60757, 248.17331;
 107.09696, 251.55753;
 259.21365, 256.78806;
 64.698814, 258.90805;
 152.05673, 262.61081;
 179.12044, 261.70535;
 292.72443, 263.89996;
 195.28444, 268.11212;
 56.989761, 271.42148;
 67.528221, 271.39813;
 141.41156, 271.48828;
 256.03662, 275.50137;
 114.17618, 277.22052;
 163.36076, 279.78842;
 253.68816, 280.7919;
 290.26471, 290.27194;
 102.21108, 291.48557;
 329.84668, 292.44968;
 253.25879, 293.6066;
 328.05981, 293.57211;
 301.87488, 295.77377;
 38.77557, 296.10684;
