[14.07003, 3.7412751;
 350.94235, 8.1615276;
 171.04015, 15.279717;
 57.571327, 16.211538;
 158.50694, 17.297558;
 296.76859, 17.700329;
 267.59967, 18.716423;
 291.23804, 21.35622;
 79.903984, 22.341841;
 151.75037, 22.786175;
 37.448799, 24.160828;
 54.292126, 24.136833;
 57.21941, 25.58758;
 158.53482, 26.510273;
 335.6669, 26.69063;
 191.28445, 29.055895;
 51.978291, 29.963264;
 148.99051, 29.587572;
 79.193306, 31.071854;
 99.011566, 31.007893;
 200.43713, 34.943268;
 270.50488, 37.373207;
 88.690681, 38.694675;
 143.0804, 39.070747;
 65.448555, 42.39378;
 135.5472, 41.89492;
 144.0251, 46.114285;
 246.32199, 46.535633;
 65.915245, 49.379414;
 183.59175, 50.533524;
 184.90898, 57.432434;
 100.41989, 58.598259;
 187.60037, 60.230907;
 77.140129, 60.819382;
 71.019264, 70.231789;
 242.15367, 75.209114;
 262.27838, 75.012276;
 127.65747, 79.822884;
 260.77933, 82.002655;
 67.732941, 83.116867;
 91.228951, 82.79847;
 140.23209, 85.382126;
 131.6779, 85.521866;
 109.29101, 87.12149;
 392.44159, 89.007278;
 53.435036, 90.764648;
 34.19215, 91.596405;
 81.433182, 91.806572;
 183.5108, 92.020332;
 41.310806, 93.379616;
 205.32953, 93.349594;
 169.15488, 94.285278;
 57.243717, 95.894073;
 357.91946, 98.067047;
 35.961552, 98.734932;
 80.64325, 98.780151;
 327.72833, 99.48671;
 181.36531, 102.73689;
 235.45708, 105.23574;
 67.138954, 107.31536;
 15.16469, 107.64428;
 46.248116, 110.21803;
 190.60519, 112.03265;
 238.00534, 115.18114;
 90.308449, 116.22901;
 170.50099, 118.27898;
 220.66785, 117.83137;
 302.35257, 118.27391;
 116.08884, 119.81922;
 274.53909, 120.18133;
 221.19318, 123.57804;
 244.76587, 124.8167;
 33.84309, 126.31086;
 114.28452, 126.40412;
 163.02577, 126.08765;
 227.48512, 128.43993;
 360.64294, 128.28793;
 48.285866, 128.68069;
 21.523016, 131.20216;
 243.76492, 131.44464;
 73.273804, 134.0108;
 146.50116, 134.50758;
 356.83121, 133.61714;
 50.703297, 135.25031;
 226.76807, 135.07207;
 34.241985, 138.17728;
 82.723557, 139.98413;
 336.6221, 140.59843;
 35.803181, 143.84666;
 167.31808, 145.38074;
 222.49394, 145.42877;
 27.952356, 150.48389;
 169.9727, 153.3633;
 322.70682, 153.62506;
 182.38496, 154.83647;
 330.07318, 155.97112;
 212.0265, 157.123;
 10.924666, 158.86382;
 326.3476, 161.44905;
 159.30046, 165.54033;
 123.48724, 166.51958;
 36.768196, 171.77747;
 238.52596, 173.7516;
 71.569656, 176.60364;
 83.551933, 177.31883;
 87.57692, 178.05893;
 9.6853838, 179.35695;
 338.30023, 178.49959;
 237.84129, 180.07516;
 136.15953, 186.07188;
 50.578934, 186.78157;
 111.19637, 189.4976;
 166.9519, 193.61925;
 75.665306, 195.14513;
 186.94286, 195.20654;
 67.344116, 198.64841;
 362.17041, 199.8685;
 27.33157, 200.84023;
 315.2583, 202.43527;
 74.370934, 203.30978;
 290.39777, 204.86249;
 97.062576, 206.01805;
 365.15179, 205.64185;
 126.78155, 219.57214;
 22.069525, 221.37714;
 82.617126, 223.22858;
 379.87177, 222.63948;
 186.17635, 223.6749;
 34.2812, 225.07196;
 277.93585, 224.66837;
 136.84332, 225.77196;
 153.86156, 225.62932;
 109.49193, 229.00447;
 137.33601, 232.29214;
 324.74936, 234.63048;
 84.829384, 238.56473;
 265.52963, 241.33144;
 22.074656, 241.76167;
 371.71823, 242.46675;
 95.840324, 244.76857;
 237.85774, 244.85965;
 42.611214, 246.35043;
 29.372318, 246.52171;
 187.62881, 247.46448;
 94.350067, 250.64343;
 46.836983, 258.86517;
 146.9393, 262.22955;
 301.12903, 264.5257;
 156.78558, 281.98315;
 257.5369, 283.42047;
 344.00977, 296.18622;
 312.22137, 298.90326;
 247.32439, 300.76245;
 280.48996, 306.04462;
 373.04535, 306.25934;
 38.106892, 307.7717;
 254.48242, 310.85675;
 210.00316, 311.48627;
 289.5809, 314.47278;
 39.795601, 316.2702;
 329.04843, 318.41364;
 369.93036, 319.39035;
 21.255108, 319.73059;
 86.578308, 321.50018;
 330.60968, 326.50012;
 191.34689, 328.27499;
 240.55125, 329.33838;
 251.76622, 333.60889;
 55.526264, 334.8696;
 318.40457, 334.6525;
 241.27298, 335.909;
 150.34624, 337.26361;
 214.77121, 337.09326;
 40.493427, 338.50946;
 344.86102, 338.22232;
 97.544876, 339.24347;
 148.89128, 341.5209;
 114.07268, 346.10007;
 181.66336, 351.44656;
 36.398567, 352.86209;
 237.65955, 354.77386;
 29.772362, 355.8176;
 281.97589, 356.24258;
 99.816452, 357.40967;
 294.4043, 357.11584;
 69.212166, 361.82706;
 164.58598, 364.51035;
 68.378448, 369.43985;
 87.676216, 373.75446;
 118.93743, 375.12143;
 354.52469, 375.85495;
 26.208668, 378.34674;
 379.16754, 377.9599;
 114.93458, 383.3692;
 66.031525, 388.45236;
 158.02409, 388.39539;
 186.50092, 388.72177;
 244.45302, 390.92719;
 184.89273, 392.48361;
 197.05522, 392.50403;
 271.15802, 394.8201;
 29.543131, 396.47495;
 13.957302, 3.9011946;
 137.87698, 7.2234707;
 350.6875, 8.3219824;
 290.89798, 9.6364975;
 185.91557, 13.958017;
 13.002265, 15.370022;
 128.99817, 15.152035;
 76.229202, 15.454438;
 57.094032, 16.544014;
 158.08809, 17.584608;
 267.58371, 17.682182;
 292.47455, 20.842209;
 79.929398, 21.652279;
 99.071739, 21.68335;
 151.40678, 21.607138;
 37.462734, 24.560051;
 132.71422, 23.987345;
 56.667366, 24.464214;
 199.32964, 25.430984;
 158.98741, 26.806561;
 272.80988, 26.79604;
 335.90717, 26.727545;
 107.39422, 27.65202;
 190.36943, 29.350822;
 149.44998, 29.830805;
 52.692463, 30.848076;
 79.476173, 30.980783;
 98.524704, 31.327255;
 134.53506, 34.121872;
 304.79282, 34.151787;
 160.02344, 35.204838;
 200.71805, 35.170441;
 270.39584, 37.281433;
 143.10481, 37.482254;
 89.759125, 38.424633;
 116.14351, 39.464764;
 65.176445, 41.623646;
 135.73833, 42.35252;
 182.6006, 42.517921;
 161.63411, 43.517391;
 58.43391, 44.996147;
 143.53989, 46.553093;
 246.72746, 46.784954;
 114.78244, 48.278713;
 94.918755, 48.889946;
 65.876053, 50.446945;
 183.46292, 50.353245;
 311.92728, 52.239124;
 128.83502, 55.354942;
 292.23831, 54.720474;
 248.373, 55.811054;
 100.45213, 57.739319;
