[611.53699, 44.215328;
 574.72205, 45.492359;
 618.9566, 53.428135;
 528.43835, 65.249069;
 825.59589, 91.904312;
 551.44287, 110.32681;
 868.77423, 116.07953;
 379.90857, 117.83742;
 572.05151, 164.98174;
 575.25513, 177.49849;
 691.92255, 179.06064;
 694.96185, 186.76865;
 685.89532, 190.36461;
 742.85437, 191.62003;
 1186.3676, 204.99634;
 711.75171, 206.05528;
 1164.3007, 207.77972;
 1173.2131, 210.78139;
 727.6073, 215.38313;
 716.63342, 216.39294;
 1166.2974, 216.56845;
 211.48648, 226.91031;
 638.34827, 229.63135;
 632.89478, 235.9248;
 726.82935, 239.21593;
 637.45117, 249.6433;
 747.61499, 254.15154;
 364.06372, 257.38855;
 644.59503, 258.25418;
 996.75269, 259.09546;
 289.71124, 277.13431;
 357.90775, 287.6651;
 357.06262, 299.02979;
 347.6322, 303.11707;
 341.89282, 310.67856;
 1119.5438, 334.8414;
 478.92346, 342.35266;
 472.45746, 356.77603;
 722.3576, 365.88379;
 445.87323, 367.96066;
 692.90277, 371.1947;
 692.1369, 378.32816;
 299.70953, 419.54984;
 370.43066, 421.17224;
 358.59714, 424.57217;
 73.065285, 448.80627;
 47.124054, 454.51312;
 754.35626, 460.0126;
 357.50287, 549.37231;
 751.04083, 551.05786;
 757.04779, 554.46277;
 296.9353, 572.8819;
 780.08398, 573.5838;
 318.76752, 590.4743;
 69.485985, 591.151;
 776.81934, 595.08966;
 716.31726, 598.5307;
 83.660446, 602.5871;
 167.27448, 615.23364;
 156.61627, 626.33112;
 535.41119, 638.07697;
 1168.9175, 657.02582;
 390.09113, 660.66724;
 693.87946, 695.08093;
 144.9339, 719.16022;
 283.49234, 725.83142;
 708.54156, 756.64154;
 744.75092, 771.40302;
 207.77759, 775.18347;
 95.637642, 783.9472;
 765.64606, 784.36731;
 417.76605, 789.57916;
 174.50275, 824.86151;
 765.69135, 838.97485;
 1311.0944, 863.97107;
 1306.3417, 873.29956;
 781.28937, 890.63159;
 1054.3613, 905.87091;
 1198.9326, 939.87567;
 689.2514, 973.00812;
 685.51605, 981.43817;
 743.71466, 983.07941;
 1247.1794, 998.56122;
 1318.5023, 1030.738;
 177.87723, 1038.4468;
 1313.1146, 1038.9608;
 721.36377, 1060.4241;
 774.65399, 1064.4865;
 703.6236, 1067.0493;
 608.85693, 1087.7744;
 730.65533, 1094.2919;
 711.96021, 1102.9203;
 718.81305, 1120.825;
 1368.3809, 1129.559;
 793.27637, 1131.0586;
 725.38037, 1133.5101;
 110.39323, 1134.2284;
 1424.7657, 1136.2198;
 600.32269, 1164.611;
 726.52057, 1170.3269;
 148.146, 1172.165;
 714.0733, 1179.7711;
 733.96509, 1228.8595;
 735.70288, 1240.7443;
 737.27399, 1245.8451;
 758.58374, 1272.4102;
 1239.7684, 1277.8428;
 757.83398, 1288.5609;
 1398.1754, 1289.0225;
 1390.9877, 1296.4063;
 824.30865, 1318.6768;
 754.79321, 1334.7358;
 774.28186, 1341.4286;
 760.94745, 1351.839;
 767.34009, 1355.7241;
 782.4447, 1358.6119;
 797.99622, 1361.5667;
 765.49896, 1364.5095;
 1324.245, 1375.1904;
 624.66901, 1375.2513;
 767.41333, 1378.616;
 1342.7571, 1380.3684;
 767.99524, 1394.5332;
 787.71265, 1402.8433;
 778.1684, 1404.5177;
 1379.9067, 1413.4755;
 813.00879, 42.750153;
 610.6347, 59.105721;
 552.10657, 60.033127;
 779.65417, 64.110527;
 408.94662, 66.801865;
