[1112.0011, 76.951035;
 1141.1558, 99.838638;
 814.43939, 103.19411;
 1338.8342, 115.8546;
 308.37894, 121.77055;
 300.40225, 123.45016;
 789.90594, 123.32864;
 772.7243, 128.62146;
 763.57397, 130.74582;
 783.42285, 130.58577;
 1033.2377, 166.80869;
 235.3463, 170.48212;
 660.90369, 186.94548;
 713.39648, 233.82642;
 805.85175, 241.13843;
 847.87787, 242.92447;
 833.7157, 249.82697;
 433.55408, 251.29913;
 1041.7585, 257.98267;
 1104.1371, 259.04074;
 1034.4047, 260.94089;
 1029.5867, 284.66483;
 1113.6299, 288.19501;
 1111.0352, 298.99493;
 1120.0325, 304.97543;
 1291.7103, 320.18912;
 1104.7061, 322.47086;
 12.877325, 372.80157;
 41.857742, 376.53781;
 993.34247, 402.40237;
 304.77078, 416.60089;
 575.68738, 429.19897;
 76.777809, 457.20172;
 701.06445, 505.51474;
 864.97351, 591.53455;
 56.316933, 612.75336;
 757.76532, 707.95642;
 727.06055, 856.78192;
 554.50262, 942.51227;
 537.86334, 975.10046;
 528.55688, 1007.4435;
 489.81046, 1035.3575;
 505.95114, 1036.1422;
 581.43793, 1049.3468;
 468.09488, 1095.1206;
 465.17496, 1100.5653;
 464.57751, 1135.4219;
 454.16556, 1147.0333;
 415.58511, 1197.0967;
 431.9733, 1197.4214;
 416.8811, 1203.3702;
 411.2843, 1209.2825;
 437.14777, 1229.0082;
 393.92453, 1249.6097;
 402.02246, 1253.7684;
 1048.5896, 1309.486;
 1326.7147, 1362.2827;
 916.1687, 7.0373402;
 206.38565, 16.532846;
 749.88824, 21.152195;
 1235.9971, 26.686434;
 689.98773, 32.428917;
 899.50403, 36.089958;
 25.537882, 44.153622;
 444.95728, 50.981251;
 26.465107, 52.361923;
 322.14636, 54.965115;
 519.17157, 56.361618;
 1063.8577, 62.478031;
 1148.2338, 62.079952;
 468.50494, 63.410385;
 745.29163, 63.226135;
 1055.0844, 64.547333;
 1175.531, 68.129105;
 7.4756556, 70.886917;
 744.83838, 71.204361;
 106.90809, 72.140053;
 986.22015, 72.128571;
 1067.3104, 73.892059;
 1085.2944, 73.467529;
 1274.8486, 75.817268;
 458.58829, 76.690056;
 1112.0039, 76.86837;
 817.64301, 77.820374;
 1247.1578, 80.236893;
 987.6944, 81.350304;
 1300.193, 86.882996;
 194.20468, 91.30526;
 439.18408, 94.695824;
 255.59407, 97.552986;
 832.52344, 98.101013;
 1141.1423, 99.71743;
 814.57306, 103.86993;
 498.87366, 104.83539;
 911.00043, 107.583;
 783.49231, 110.82173;
 1140.6268, 111.39883;
 816.96326, 114.24085;
 1275.4779, 115.20232;
 1339.3527, 116.08108;
 308.78824, 122.26192;
 300.078, 123.39348;
 790.26508, 122.74065;
 649.68011, 127.63818;
 772.50739, 128.15311;
 763.30121, 130.45407;
 1312.215, 130.17299;
 782.12537, 131.40891;
 27.486683, 135.22643;
 262.77444, 149.37163;
 57.986275, 152.30032;
 904.63202, 158.98033;
 1033.1516, 166.64888;
 402.71497, 168.49954;
 1166.5283, 167.51897;
 840.95776, 170.19574;
 234.66321, 170.93794;
 900.74982, 180.95876;
 660.87634, 186.53445;
 378.04163, 188.08325;
 390.86545, 191.40663;
 400.33676, 191.42665;
 852.85516, 194.24268;
 683.69147, 195.68196;
 544.48615, 205.64647;
 231.45612, 208.50594;
 163.55002, 210.18347;
 555.99615, 221.28419;
 425.68869, 222.5079;
 702.84149, 228.43857;
 1296.4224, 227.93643;
 1030.374, 228.70421;
 714.26642, 233.25143;
 805.91595, 241.07321;
 347.86963, 241.74564;
 848.23926, 243.12924;
 776.88391, 243.7343;
 833.599, 249.58807;
 1052.076, 250.03242;
 433.62949, 251.53012;
 671.45129, 251.47081;
 768.11578, 252.11079;
 418.43808, 252.95024;
 1116.1039, 254.48669;
 1042.4304, 258.88107;
 1104.1008, 259.27567;
 1034.088, 259.96478;
 411.21902, 261.01184;
